Date,Country/Region,Cumulative Cases
2020-02-24 00:00:00,Thailand,35
2020-02-24 00:00:00,Vietnam,16
2020-02-25 00:00:00,Malaysia,22
2020-02-25 00:00:00,Philippines,3
2020-02-25 00:00:00,Singapore,91
2020-02-25 00:00:00,Thailand,37
2020-02-25 00:00:00,Vietnam,16
2020-02-26 00:00:00,Malaysia,22
2020-02-26 00:00:00,Philippines,3
2020-02-26 00:00:00,Singapore,93
2020-02-26 00:00:00,Thailand,40
2020-02-26 00:00:00,Vietnam,16
2020-02-27 00:00:00,Malaysia,23
2020-02-27 00:00:00,Philippines,3
2020-02-27 00:00:00,Singapore,93
2020-02-27 00:00:00,Thailand,40
2020-02-27 00:00:00,Vietnam,16
2020-02-28 00:00:00,Malaysia,23
2020-02-28 00:00:00,Philippines,3
2020-02-28 00:00:00,Singapore,93
2020-02-28 00:00:00,Thailand,41
2020-02-28 00:00:00,Vietnam,16
2020-02-29 00:00:00,Malaysia,25
2020-02-29 00:00:00,Philippines,3
2020-02-29 00:00:00,Singapore,102
2020-02-29 00:00:00,Thailand,42
2020-02-29 00:00:00,Vietnam,16
2020-03-01 00:00:00,Malaysia,29
2020-03-01 00:00:00,Philippines,3
2020-03-01 00:00:00,Singapore,106
2020-03-01 00:00:00,Thailand,42
2020-03-01 00:00:00,Vietnam,16
2020-03-02 00:00:00,Indonesia,2
2020-03-02 00:00:00,Malaysia,29
2020-03-02 00:00:00,Philippines,3
2020-03-02 00:00:00,Singapore,108
2020-03-02 00:00:00,Thailand,43
2020-03-02 00:00:00,Vietnam,16
2020-03-03 00:00:00,Indonesia,2
2020-03-03 00:00:00,Malaysia,36
2020-03-03 00:00:00,Philippines,3
2020-03-03 00:00:00,Singapore,110
2020-03-03 00:00:00,Thailand,43
2020-03-03 00:00:00,Vietnam,16
2020-03-04 00:00:00,Indonesia,2
2020-03-04 00:00:00,Malaysia,50
2020-03-04 00:00:00,Philippines,3
2020-03-04 00:00:00,Singapore,110
2020-03-04 00:00:00,Thailand,43
2020-03-04 00:00:00,Vietnam,16
2020-03-05 00:00:00,Indonesia,2
2020-03-05 00:00:00,Malaysia,50
2020-03-05 00:00:00,Philippines,3
2020-03-05 00:00:00,Singapore,117
2020-03-05 00:00:00,Thailand,47
2020-03-05 00:00:00,Vietnam,16
2020-03-06 00:00:00,Indonesia,4
2020-03-06 00:00:00,Malaysia,83
2020-03-06 00:00:00,Philippines,5
2020-03-06 00:00:00,Singapore,130
2020-03-06 00:00:00,Thailand,48
2020-03-06 00:00:00,Vietnam,16
2020-03-07 00:00:00,Indonesia,4
2020-03-07 00:00:00,Malaysia,93
2020-03-07 00:00:00,Philippines,6
2020-03-07 00:00:00,Singapore,138
2020-03-07 00:00:00,Thailand,50
2020-03-07 00:00:00,Vietnam,18
2020-03-08 00:00:00,Indonesia,6
2020-03-08 00:00:00,Malaysia,99
2020-03-08 00:00:00,Philippines,10
2020-03-08 00:00:00,Singapore,150
2020-03-08 00:00:00,Thailand,50
2020-03-08 00:00:00,Vietnam,30
2020-03-09 00:00:00,Indonesia,19
2020-03-09 00:00:00,Malaysia,117
2020-03-09 00:00:00,Philippines,20
2020-03-09 00:00:00,Singapore,150
2020-03-09 00:00:00,Thailand,50
2020-03-09 00:00:00,Vietnam,30
2020-03-10 00:00:00,Indonesia,27
2020-03-10 00:00:00,Malaysia,129
2020-03-10 00:00:00,Philippines,33
2020-03-10 00:00:00,Singapore,160
2020-03-10 00:00:00,Thailand,53
2020-03-10 00:00:00,Vietnam,31
2020-03-11 00:00:00,Indonesia,34
2020-03-11 00:00:00,Malaysia,149
2020-03-11 00:00:00,Philippines,49
2020-03-11 00:00:00,Singapore,178
2020-03-11 00:00:00,Thailand,59
2020-03-11 00:00:00,Vietnam,38
2020-03-12 00:00:00,Indonesia,34
2020-03-12 00:00:00,Malaysia,149
2020-03-12 00:00:00,Philippines,52
2020-03-12 00:00:00,Singapore,178
2020-03-12 00:00:00,Thailand,70
2020-03-12 00:00:00,Vietnam,39
2020-03-13 00:00:00,Indonesia,69
2020-03-13 00:00:00,Malaysia,197
2020-03-13 00:00:00,Philippines,64
2020-03-13 00:00:00,Singapore,200
2020-03-13 00:00:00,Thailand,75
2020-03-13 00:00:00,Vietnam,47
2020-03-14 00:00:00,Indonesia,96
2020-03-14 00:00:00,Malaysia,238
2020-03-14 00:00:00,Philippines,111
2020-03-14 00:00:00,Singapore,212
2020-03-14 00:00:00,Thailand,82
2020-03-14 00:00:00,Vietnam,53
2020-03-15 00:00:00,Indonesia,117
2020-03-15 00:00:00,Malaysia,428
2020-03-15 00:00:00,Philippines,140
2020-03-15 00:00:00,Singapore,226
2020-03-15 00:00:00,Thailand,114
